,label,review
18,__label__2,they'd watch it nonstop if i'd let them apart from it arriving broken the first time my kids are loving this dvd which i alternate with the other i purchased to keep my own sanity this dvd has created a thomas fan out of my 3 12 yr old daughter as well
19,__label__1,not as expected my children get easily bored with this video i thought it was several episodes of thomas but it has a lot of just children and parents talking about thomas and all it doesn't keep the kids attention because what kid wants to sit and listen to a bunch of talking this was my first thomas video purchasehopefully the next will have more shows and less talking!
20,__label__2,wonderful i went online for information about dockers khaki pants the size my husband wears are very hard to find in stores i was very impressed with the selection i had and he was thrilled to have all these pants without having them taken up in the length the delivery was quick especially during christmas and i really appreciate all the effort made to send us the selections we chose
21,__label__1,doublecharged for shipping because merchant was backordered merchant was out of stock on the second pair of pants so when it was shipped i was charged 9 again when the second pair was in stock weeks laterwill not buy from amazon vendors again
22,__label__2,book of chance i had just finished reading 'the food of love' by anthony capella since i had nothing to do but read mind you reading is one of my favorite pastimesi had recently bought a series of books the food of love was just one of the books i just picked up so i can get that 'three for the price of two' deal at waterstones in london british's equivalent of barnesnoble i wasn't really interested but it was one of the more interesting options i had well i'm glad i made the right choice! i started reading it last night and i haven't put it down sinceif you love food and a little romance which i am both fond of it's an excellent book to read mr capella was remarkably thorough in his description of the rich and textured italian dishes that the words assails you with a sense of smell and taste that leaves you hungry for more this book took me by surprise and i'm sure you would not be disappointed
23,__label__1,light reading light in substance a clichéd storyline based on the classic cyrano de bergerac this book reads like a rookie novel written by someone who has a knowledge and passion for italian culture and cuisine but little experience in developing a story i can understand bruno and his passion for cooking but have no clue as to his passion for laura it seems to be primarily based on her being a blonde american how exotic her character is so underdeveloped- we know she's studying art history and she enjoys bruno's cooking with a passion that's about it and tomasso he's just the cliché for any over-sexed mediterranean male who encounters foreign femalesit's a light and entertaining read if you can get beyond all of the reasons you should put it down and walk away that being said i will however check out this author's more recent novels he does seem to have a way with technical details hopefully his storytelling has caught up
24,__label__2,weib forever! this is a great cd!! i love weib kreuz!! the anime is awsome! its bout 4 guys hhhooottt who work at a flower shop but at night they are the white hunters or byce as in the anime they are assasins that hunt the tomorrow of bad guys the bad guys the police cant get  like when teens start blowing up in flames in public for no reason from a strange gas substance that w instant contact ingulfs any object but i couldnt resist its also an emotional anime at times! i think this is a cd and anime any anime fan should see
25,__label__1,great book--unacceptable condition i was looking forward to receiving this book as i was going to new orleans to antoine's restaurant i read the book at least thirty years ago and wanted my own copy this book came without a dust jacket and was so musty that i could not read it without my eyes watering i sent it back at my own expense and to date i have not had a refund
26,__label__2,real html for people who build sites for a living this book is simply great! if you build sites for a living you probably struggle with books that trivialize html and present its syntax willy-nilly this book is the only book i've ever seen that actually seems to be written by someone who builds sites professionally and wants to know all the markup it explains logical and physical tagging styles well and does a really good job showing how to hook html with other technologies without trying to teach cgi css etc at the same time the only thing i wish is that this guy would write a javascript or dhtml book i'd buy that right away
27,__label__2,marriage has its good and bad moments this is a tear-jerker mixed with humor a lot of rough patches for this couple but don't let that scare you off because there are also a lot of good times too i watch this movie often as i am a hopeless romantic and i thoroughly enjoy the music and dancing hindi style  pop rock mix plus it's worth wading through the tears to get to the fun parts it ends the way a typical relationship of this type would but that's not exactly a bad thing in this case i recommend it to everyone
28,__label__2,amazing love itvery touchit's to bad that in the dvd description doesn't mention no subtitles
